id,timestamp,zone_id,controller,flow_detected,flow_gpm,result,notes
1,1775131200,Z2,Pool Equipment,,,error,Automated check — not yet implemented
2,1775304000,Z2,Pool Equipment,,,error,Automated check — not yet implemented
3,1775390400,Z2,Pool Equipment,,,error,Automated check — not yet implemented
4,1775476800,Z2,Pool Equipment,,,error,Automated check — not yet implemented
5,1775563200,Z2,Pool Equipment,,,error,Automated check — not yet implemented
6,1775649600,Z2,Pool Equipment,,,error,Automated check — not yet implemented
7,1775736000,Z2,Pool Equipment,,,error,Automated check — not yet implemented
8,1775822400,Z2,Pool Equipment,,,error,Automated check — not yet implemented
9,1775908800,Z2,Pool Equipment,,,error,Automated check — not yet implemented
10,1775995200,Z2,Pool Equipment,,,error,Automated check — not yet implemented
11,1776081600,Z2,Pool Equipment,,,error,Automated check — not yet implemented
12,1776168000,Z2,Pool Equipment,,,error,Automated check — not yet implemented
13,1776254400,Z2,Pool Equipment,,,error,Automated check — not yet implemented
14,1776340800,Z2,Pool Equipment,,,error,Automated check — not yet implemented
15,1776427200,Z2,Pool Equipment,,,error,Automated check — not yet implemented
16,1776513600,Z2,Pool Equipment,,,error,Automated check — not yet implemented
17,1776600000,Z2,Pool Equipment,,,error,Automated check — not yet implemented
18,1776686400,Z2,Pool Equipment,,,error,Automated check — not yet implemented
19,1776772800,Z2,Pool Equipment,,,error,Automated check — not yet implemented
20,1776859200,Z2,Pool Equipment,,,error,Automated check — not yet implemented
21,1776945600,Z2,Pool Equipment,,,error,Automated check — not yet implemented
22,1777032000,Z2,Pool Equipment,,,error,Automated check — not yet implemented
23,1777118400,Z2,Pool Equipment,,,error,Automated check — not yet implemented
24,1777204800,Z2,Pool Equipment,,,error,Automated check — not yet implemented
25,1777291200,Z2,Pool Equipment,,,error,Automated check — not yet implemented
26,1777377600,Z2,Pool Equipment,,,error,Automated check — not yet implemented
27,1777464000,Z2,Pool Equipment,,,error,Automated check — not yet implemented
28,1777550400,Z2,Pool Equipment,,,error,Automated check — not yet implemented
29,1777636800,Z2,Pool Equipment,,,error,Automated check — not yet implemented
30,1777723200,Z2,Pool Equipment,,,error,Automated check — not yet implemented
31,1777809600,Z2,Pool Equipment,,,error,Automated check — not yet implemented
32,1777896000,Z2,Pool Equipment,,,error,Automated check — not yet implemented
33,1777982400,Z2,Pool Equipment,,,error,Automated check — not yet implemented
66,1777982400,Z2,Pool Equipment,,,error,Automated check — not yet implemented
67,1777982400,Z2,Pool Equipment,,,error,Automated check — not yet implemented
68,1778587200,Z2,Pool Equipment,,,error,Automated check — not yet implemented
69,1778673600,Z2,Pool Equipment,,,error,Automated check — not yet implemented
