id,zone_id,controller,kz_value,last_updated,observation_count
1324,Z1,Loomis Garage,1,1778577000,0
1325,Z2,Loomis Garage,1,1778577000,0
1326,Z3,Loomis Garage,1,1778577000,0
1327,Z4,Loomis Garage,1,1778577000,0
1328,Z5,Loomis Garage,1,1778577000,0
1329,Z6,Loomis Garage,1,1778577000,0
1330,Z7,Loomis Garage,1,1778577000,0
1331,Z8,Loomis Garage,1,1778577000,0
1332,Z9,Loomis Garage,1,1778577000,0
1333,Z1,Loomis Pool Equipment,1,1778577000,0
1334,Z2,Loomis Pool Equipment,1,1778577000,0
1335,Z3,Loomis Pool Equipment,1,1778577000,0
1336,Z4,Loomis Pool Equipment,1,1778577000,0
1337,Z5,Loomis Pool Equipment,1,1778577000,0
1338,Z6,Loomis Pool Equipment,1,1778577000,0
1339,Z7,Loomis Pool Equipment,1,1778577000,0
1340,Z8,Loomis Pool Equipment,1,1778577000,0
1341,Z9,Loomis Pool Equipment,1,1778577000,0
1342,Z10,Loomis Pool Equipment,1,1778577000,0
1343,Z11,Loomis Pool Equipment,1,1778577000,0
1344,Z1,Loomis barn,1,1778577000,0
1345,Z2,Loomis barn,1,1778577000,0
